LAMBDA,Hp,BT,VT
3400,0.0,0.0,0.0
3500,0.041,0.0,0.0
3550,0.056499999999999995,0.015,0.0
3600,0.072,0.063,0.0
3650,0.1025,0.132,0.0
3700,0.133,0.22,0.0
3750,0.166,0.323,0.0
3800,0.199,0.439,0.0
3850,0.231,0.556,0.0
3900,0.263,0.664,0.0
3950,0.305,0.751,0.0
4000,0.347,0.813,0.0
4050,0.385,0.853,0.0
4100,0.423,0.88,0.0
4150,0.4655,0.904,0.0
4200,0.508,0.931,0.0
4250,0.56,0.96,0.0
4300,0.612,0.984,0.0
4350,0.669,1.0,0.0
4400,0.726,0.969,0.0
4450,0.7695,0.852,0.0
4500,0.813,0.674,0.0
4550,0.8594999999999999,0.479,0.0
4600,0.906,0.309,0.023
4650,0.9359999999999999,0.196,0.119
4700,0.966,0.131,0.308
4750,0.979,0.097,0.54
4800,0.992,0.077,0.749
4850,0.996,0.056,0.882
4900,1.0,0.035,0.951
4950,0.996,0.015,0.981
5000,0.992,0.002999999999999999,0.997
5050,0.985,0.0,1.0
5100,0.978,0.0,0.992
5150,0.9645,0.0,0.974
5200,0.951,0.0,0.946
5250,0.9325,0.0,0.911
5300,0.914,0.0,0.87
5350,0.897,0.0,0.827
5400,0.88,0.0,0.784
5450,0.86,0.0,0.738
5500,0.84,0.0,0.692
5550,0.8185,0.0,0.645
5600,0.797,0.0,0.599
5650,0.776,0.0,0.553
5700,0.755,0.0,0.504
5750,0.7335,0.0,0.458
5800,0.712,0.0,0.412
5850,0.69,0.0,0.368
5900,0.668,0.0,0.324
5950,0.647,0.0,0.282
6000,0.626,0.0,0.245
6050,0.6045,0.0,0.209
6100,0.583,0.0,0.178
6150,0.5625,0.0,0.152
6200,0.542,0.0,0.129
6250,0.5225,0.0,0.108
6300,0.503,0.0,0.092
6350,0.484,0.0,0.078
6400,0.465,0.0,0.066
6450,0.447,0.0,0.055
6500,0.429,0.0,0.044
6550,0.41100000000000003,0.0,0.036
6600,0.393,0.0,0.027
6650,0.376,0.0,0.017
6700,0.359,0.0,0.008
6750,0.3425,0.0,0.0
6800,0.326,0.0,0.0
6900,0.293,0.0,0.0
7000,0.26,0.0,0.0
7100,0.23,0.0,0.0
7200,0.202,0.0,0.0
7300,0.176,0.0,0.0
7400,0.152,0.0,0.0
7500,0.13,0.0,0.0
7600,0.112,0.0,0.0
7700,0.095,0.0,0.0
7800,0.081,0.0,0.0
7900,0.068,0.0,0.0
8000,0.054,0.0,0.0
8100,0.042,0.0,0.0
8200,0.032,0.0,0.0
8300,0.024,0.0,0.0
8400,0.018,0.0,0.0
8500,0.014,0.0,0.0
8600,0.01,0.0,0.0
8700,0.006,0.0,0.0
8800,0.002,0.0,0.0
8900,0.0,0.0,0.0
