LAMBDA,U,B,V,Rc,Ic
3000,0.0,0.0,0.0,0.0,0.0
3050,0.019,0.0,0.0,0.0,0.0
3100,0.068,0.0,0.0,0.0,0.0
3150,0.167,0.0,0.0,0.0,0.0
3200,0.278,0.0,0.0,0.0,0.0
3250,0.398,0.0,0.0,0.0,0.0
3300,0.522,0.0,0.0,0.0,0.0
3350,0.636,0.0,0.0,0.0,0.0
3400,0.735,0.0,0.0,0.0,0.0
3450,0.813,0.0,0.0,0.0,0.0
3500,0.885,0.0,0.0,0.0,0.0
3550,0.94,0.0,0.0,0.0,0.0
3600,0.98,0.0,0.0,0.0,0.0
3650,1.0,0.0155,0.0,0.0,0.0
3700,1.0,0.031,0.0,0.0,0.0
3750,0.974,0.084,0.0,0.0,0.0
3800,0.918,0.137,0.0,0.0,0.0
3850,0.802,0.36049999999999993,0.0,0.0,0.0
3900,0.59,0.5839999999999999,0.0,0.0,0.0
3950,0.355,0.7655,0.0,0.0,0.0
4000,0.194,0.947,0.0,0.0,0.0
4050,0.107,0.9735,0.0,0.0,0.0
4100,0.046,1.0,0.0,0.0,0.0
4150,0.0030000000000000027,1.0,0.0,0.0,0.0
4200,0.0,1.0,0.0,0.0,0.0
4300,0.0,0.957,0.0,0.0,0.0
4400,0.0,0.895,0.0,0.0,0.0
4500,0.0,0.802,0.0,0.0,0.0
4600,0.0,0.682,0.0,0.0,0.0
4700,0.0,0.577,0.0,0.0,0.0
4800,0.0,0.474,0.033,0.0,0.0
4900,0.0,0.369,0.176,0.0,0.0
5000,0.0,0.278,0.485,0.0,0.0
5100,0.0,0.198,0.811,0.0,0.0
5200,0.0,0.125,0.986,0.0,0.0
5300,0.0,0.078,1.0,0.0,0.0
5400,0.0,0.036,0.955,0.0,0.0
5500,0.0,0.008,0.865,0.0,0.0
5600,0.0,0.0,0.75,0.247,0.0
5700,0.0,0.0,0.656,0.78,0.0
5800,0.0,0.0,0.545,0.942,0.0
5900,0.0,0.0,0.434,0.998,0.0
6000,0.0,0.0,0.334,1.0,0.0
6100,0.0,0.0,0.249,0.974,0.0
6200,0.0,0.0,0.18,0.94,0.0
6300,0.0,0.0,0.124,0.901,0.0
6400,0.0,0.0,0.075,0.859,0.0
6500,0.0,0.0,0.041,0.814,0.0
6600,0.0,0.0,0.022,0.76,0.0
6700,0.0,0.0,0.014,0.713,0.0
6800,0.0,0.0,0.011,0.662,0.0
6900,0.0,0.0,0.008,0.605,0.0
7000,0.0,0.0,0.006,0.551,0.0
7100,0.0,0.0,0.004,0.497,0.09
7200,0.0,0.0,0.002,0.446,0.356
7300,0.0,0.0,0.001,0.399,0.658
7400,0.0,0.0,0.0,0.35,0.865
7500,0.0,0.0,0.0,0.301,0.96
7600,0.0,0.0,0.0,0.257,1.0
7700,0.0,0.0,0.0,0.215,0.998
7800,0.0,0.0,0.0,0.177,0.985
7900,0.0,0.0,0.0,0.144,0.973
8000,0.0,0.0,0.0,0.116,0.97
8100,0.0,0.0,0.0,0.089,0.958
8200,0.0,0.0,0.0,0.066,0.932
8300,0.0,0.0,0.0,0.051,0.904
8400,0.0,0.0,0.0,0.039,0.86
8500,0.0,0.0,0.0,0.03,0.81
8600,0.0,0.0,0.0,0.021,0.734
8700,0.0,0.0,0.0,0.014,0.59
8800,0.0,0.0,0.0,0.008,0.392
8900,0.0,0.0,0.0,0.006,0.203
9000,0.0,0.0,0.0,0.003,0.07
9100,0.0,0.0,0.0,0.0,0.007999999999999993
9200,0.0,0.0,0.0,0.0,0.0
